Time,IE,IT,US,TW,KR
21.12.2021,256.7371187,327.4985004,363.38,445.53,406.6
22.12.2021,186.4118051,341.5786838,361.74,432.08,398.42
23.12.2021,265.6028067,334.1599785,361.74,439.9,399.22
24.12.2021,248.0704417,278.9011122,297.31,430.31,399.07
25.12.2021,208.3560246,242.735549,318.42,429.16,387.51
26.12.2021,316.4833774,253.7219278,318.2,426.41,389.26
27.12.2021,341.6723365,287.9706759,316.87,435.09,397.25
28.12.2021,321.8297985,279.3543337,325.75,435.75,395.81
29.12.2021,136.3563132,257.4017535,359.55,434.6,398.95
30.12.2021,219.59259,254.6405289,365.69,430.74,399.78
31.12.2021,116.888069,266.1284439,365.69,439.06,394.54
